year_of_info,registration_number,state_medical_council,name,father_or_husband_name,qualification_1,qualification_1_year,university_name,qualification_2,qualification_2_year,email,date_of_birth,date_of_registration,age,experience_years
2022,48573,Andhra Pradesh Medical Council,Hardik Chandran,Kala Mittal,MBBS,2002,SVIMS Tirupati,MS (Ortho),1998,chanchalsahota@example.com,30-11-1977,08-10-2000,48,24
2004,62988,Andhra Pradesh Medical Council,Meghana Divan,Zaid Apte,MBBS,1985,SVIMS Tirupati,,,omkaarbasak@example.com,27-07-1992,23-08-2022,33,41
2000,65198,Andhra Pradesh Medical Council,Vansha Kashyap,Harsh Sunder,MBBS,1985,SVIMS Tirupati,,,bkashyap@example.com,03-11-1971,07-03-2019,54,41
2000,41169,Andhra Pradesh Medical Council,Upkaar Hari,Yahvi Devi,MBBS,1984,NTR University of Health Sciences,,,parmarjalsa@example.org,22-08-1994,19-11-2023,31,42
2005,72543,Andhra Pradesh Medical Council,Praneel Sastry,Pallavi Patla,MBBS,1987,U.Mysore,MD (Gen. Med.),1998,anthony38@example.com,26-08-1977,27-08-2010,48,39
2022,44095,Andhra Pradesh Medical Council,Ikshita Sankar,Mekhala Chakrabarti,MBBS,2002,NTR University of Health Sciences,MD (Gen. Med.),2016,msant@example.org,10-05-1978,13-07-2012,47,24
2010,60686,Andhra Pradesh Medical Council,Jacob Boase,Bhavani Arora,MBBS,1994,NTR University of Health Sciences,MS (Ortho),2000,faqid78@example.com,30-01-1983,06-08-2020,42,32
2016,69561,Andhra Pradesh Medical Council,Rushil Hayre,Devika Shankar,MBBS,2000,U.Mysore,MD (Pediatrics),2009,jbhatti@example.net,29-06-1972,02-07-2011,53,26
2020,98046,Andhra Pradesh Medical Council,Om Dalal,Udarsh Khosla,MBBS,2000,U.Mysore,,,balanmadhavi@example.org,21-06-1993,15-11-2015,32,26
2012,40210,Andhra Pradesh Medical Council,Zinal Bir,Upadhriti Buch,MBBS,1997,NTR University of Health Sciences,MS (Ortho),2007,wgokhale@example.org,22-04-1977,27-08-2025,48,29
2010,83806,Andhra Pradesh Medical Council,Ethan Dube,Zinal Deshmukh,MBBS,1993,U.Mysore,MS (Ortho),2010,frederickbasak@example.net,11-08-1975,05-05-2013,50,33
2000,98325,Andhra Pradesh Medical Council,Samar Kannan,Yauvani Barad,MBBS,1982,SVIMS Tirupati,MD (Gen. Med.),2017,prakashtimothy@example.com,26-02-1989,28-11-2020,36,44
2015,56948,Andhra Pradesh Medical Council,Bishakha Chaudhari,Bhavika Ramachandran,MBBS,1997,NTR University of Health Sciences,,,hiralbadami@example.com,09-11-1992,21-02-2016,33,29
2023,55167,Andhra Pradesh Medical Council,Ikshita Doshi,Tanveer Kaur,MBBS,2005,SVIMS Tirupati,MS (Ortho),2000,ramanbrijesh@example.com,20-12-1974,27-03-2003,51,21
2012,58049,Andhra Pradesh Medical Council,Vaishnavi Bajaj,Tanay Tara,MBBS,1992,U.Mysore,MS (Ortho),2002,goelurvashi@example.com,07-02-1984,15-10-2017,41,34
2017,75075,Andhra Pradesh Medical Council,Ishita Gole,Yachana Deshmukh,MBBS,1997,SVIMS Tirupati,,,chanakya34@example.org,10-02-1992,21-02-2025,33,29
2007,60170,Andhra Pradesh Medical Council,Warjas Munshi,Riya Gara,MBBS,1991,SVIMS Tirupati,MS (Ortho),1998,kdhaliwal@example.org,12-10-1998,21-02-2024,27,35
2014,71292,Andhra Pradesh Medical Council,Chameli Borra,Tripti Varughese,MBBS,1997,NTR University of Health Sciences,MS (Ortho),2004,buchnaksh@example.org,20-07-1978,06-07-2020,47,29
2016,84145,Andhra Pradesh Medical Council,Oni Pradhan,Hemang Shere,MBBS,1999,U.Mysore,MD (Gen. Med.),2008,ethandani@example.org,29-07-1970,11-08-2011,55,27
2001,52903,Andhra Pradesh Medical Council,Aradhana Sawhney,Pranav Mani,MBBS,1983,U.Mysore,MD (Pediatrics),2022,somanbhavya@example.com,21-07-1998,24-11-2024,27,43
2001,91804,Andhra Pradesh Medical Council,Ekaraj Garg,Jeet Srivastava,MBBS,1984,U.Mysore,MD (Gen. Med.),2014,cnigam@example.com,21-12-1993,11-03-2016,32,42
2009,72540,Andhra Pradesh Medical Council,Girik Handa,Maanav Ravel,MBBS,1990,NTR University of Health Sciences,MD (Pediatrics),2017,atigole@example.org,02-07-1996,03-11-2020,29,36
2021,45267,Andhra Pradesh Medical Council,Jason Pandit,Vihaan Keer,MBBS,2002,SVIMS Tirupati,MD (Gen. Med.),2015,niharikabarad@example.net,08-09-1978,29-07-2018,47,24
2003,45180,Andhra Pradesh Medical Council,Tripti Natarajan,Radhika Lall,MBBS,1985,U.Mysore,,,omyamittal@example.net,03-05-1978,18-09-2025,47,41
2007,62882,Andhra Pradesh Medical Council,Chavvi Bava,Mohammed Nayar,MBBS,1990,SVIMS Tirupati,MD (Gen. Med.),2007,annenidhi@example.net,18-06-1983,13-10-2009,42,36
2011,51299,Andhra Pradesh Medical Council,Yatan Maharaj,Amaira Kalita,MBBS,1995,U.Mysore,MD (Pediatrics),2006,saranveer@example.org,13-09-1975,13-04-2016,50,31
2010,80812,Andhra Pradesh Medical Council,Falan Kala,Harshil Malhotra,MBBS,1992,NTR University of Health Sciences,MD (Gen. Med.),2002,yashoda58@example.com,27-08-1974,06-09-2021,51,34
2015,55153,Andhra Pradesh Medical Council,Vedant Saini,Chakradev Char,MBBS,2000,SVIMS Tirupati,MS (Ortho),2010,gabrielmurthy@example.net,21-11-1978,08-10-2011,47,26
2019,98760,Andhra Pradesh Medical Council,Omkaar Mohan,Anvi Rajan,MBBS,1999,SVIMS Tirupati,MD (Pediatrics),2009,dakshasubramaniam@example.org,25-11-1973,18-07-2008,52,27
2019,93940,Andhra Pradesh Medical Council,Zaitra Kothari,Panini Kala,MBBS,2003,NTR University of Health Sciences,MD (Pediatrics),2008,kmishra@example.org,13-05-1973,16-04-2009,52,23
2004,96438,Andhra Pradesh Medical Council,Ayush Trivedi,Gopal Nair,MBBS,1989,SVIMS Tirupati,MD (Gen. Med.),1999,oni55@example.org,18-07-1989,12-11-2019,36,37
2001,70265,Andhra Pradesh Medical Council,Oscar Dugar,Advaith Hari,MBBS,1985,SVIMS Tirupati,,,ahujachristopher@example.net,06-02-1995,17-09-2023,30,41
2015,62499,Andhra Pradesh Medical Council,Zilmil Prabhu,Lakshit Raman,MBBS,1995,SVIMS Tirupati,MD (Pediatrics),2008,abhavarughese@example.org,18-03-1976,08-03-2010,49,31
2010,60693,Andhra Pradesh Medical Council,Rachana Sibal,Gavin Apte,MBBS,1992,NTR University of Health Sciences,MD (Pediatrics),2020,ranbirbasu@example.net,10-05-1975,04-12-2023,50,34
2009,43639,Andhra Pradesh Medical Council,Karan Patel,Agastya Sharma,MBBS,1994,U.Mysore,MD (Gen. Med.),1999,cdyal@example.org,05-11-1986,13-04-2010,39,32
2002,60678,Andhra Pradesh Medical Council,Jhalak Panchal,Vinaya Mishra,MBBS,1986,NTR University of Health Sciences,MD (Pediatrics),2023,zansihayer@example.com,24-07-1995,12-02-2025,30,40
2001,67687,Andhra Pradesh Medical Council,Kalpit Karpe,Gagan Goswami,MBBS,1983,U.Mysore,MS (Ortho),1992,kwalia@example.com,04-06-1977,15-05-2010,48,43
2004,84540,Andhra Pradesh Medical Council,Victor Chana,Aachal Shenoy,MBBS,1984,U.Mysore,MS (Ortho),2020,reyanshsharma@example.net,19-12-1991,06-03-2022,34,42
2017,62233,Andhra Pradesh Medical Council,Krish Gandhi,Adweta Jha,MBBS,2002,SVIMS Tirupati,MD (Gen. Med.),2003,sahakeya@example.org,20-12-1977,25-04-2004,48,24
2016,49569,Andhra Pradesh Medical Council,Falguni Pall,Yashawini Baral,MBBS,1996,SVIMS Tirupati,,,devika87@example.org,13-07-1971,03-10-2000,54,30
2008,87278,Andhra Pradesh Medical Council,Quincy Balasubramanian,Ojas Narayan,MBBS,1989,NTR University of Health Sciences,MD (Gen. Med.),2001,mparsa@example.net,21-06-1981,21-12-2010,44,37
2008,47871,Andhra Pradesh Medical Council,Shaurya Salvi,Ridhi Ramesh,MBBS,1991,NTR University of Health Sciences,MD (Pediatrics),1999,chaturamuni@example.com,27-01-1983,28-06-2025,42,35
2022,92720,Andhra Pradesh Medical Council,Atharv Divan,Ranveer Singhal,MBBS,2005,NTR University of Health Sciences,MD (Gen. Med.),2017,ikshita98@example.org,01-04-1972,17-08-2025,53,21
2003,90905,Andhra Pradesh Medical Council,Kiaan Mital,Indali Vora,MBBS,1985,SVIMS Tirupati,MS (Ortho),2012,bhanumati02@example.com,10-05-1974,21-09-2014,51,41
2005,42366,Andhra Pradesh Medical Council,Dev Sahota,Avi Sehgal,MBBS,1985,NTR University of Health Sciences,MD (Pediatrics),2000,sahnidakshesh@example.com,23-04-1978,24-11-2018,47,41
2001,88719,Andhra Pradesh Medical Council,Chaaya Naidu,Lekha Sastry,MBBS,1983,U.Mysore,,,epradhan@example.org,05-11-1988,12-12-2023,37,43
2001,87534,Andhra Pradesh Medical Council,Varenya Bawa,Zilmil Yogi,MBBS,1983,U.Mysore,,,acontractor@example.org,13-02-1983,16-07-2007,42,43
2017,76883,Andhra Pradesh Medical Council,Deepa Nanda,Meera Chowdhury,MBBS,1999,U.Mysore,,,xsunder@example.net,24-01-1999,31-07-2024,26,27
2017,82660,Andhra Pradesh Medical Council,Tamanna Bala,Gauri Yogi,MBBS,1998,NTR University of Health Sciences,MS (Ortho),2009,qbahri@example.org,12-08-1972,12-07-2005,53,28
2001,76228,Andhra Pradesh Medical Council,Anay Boase,Oviya Sanghvi,MBBS,1984,NTR University of Health Sciences,,,yashawinisarin@example.com,05-05-1987,09-08-2018,38,42
2006,91416,Andhra Pradesh Medical Council,Fitan Choudhary,Jack Bahri,MBBS,1988,NTR University of Health Sciences,MD (Pediatrics),2004,samuelkhare@example.org,21-02-1985,10-06-2007,40,38
2022,53130,Andhra Pradesh Medical Council,Prisha Chand,Teerth Sachdev,MBBS,2006,U.Mysore,MD (Gen. Med.),2016,dalbirkurian@example.com,25-03-2000,22-08-2025,25,20
2000,68981,Andhra Pradesh Medical Council,Vedika Bhatnagar,Agastya Sangha,MBBS,1981,SVIMS Tirupati,MD (Gen. Med.),2017,indaliparmar@example.net,06-07-1970,26-03-2020,55,45
2014,67509,Andhra Pradesh Medical Council,Pratyush Varty,Bimala Mani,MBBS,1994,U.Mysore,,,shenoyyochana@example.net,08-12-2000,30-08-2023,25,32
2014,78671,Andhra Pradesh Medical Council,Jagvi Panchal,Praneel Prabhu,MBBS,1997,SVIMS Tirupati,MD (Pediatrics),2020,christopherpalla@example.com,06-12-1997,14-04-2023,28,29
2015,70605,Andhra Pradesh Medical Council,Rachana Chaudhari,Panini Kumar,MBBS,1996,SVIMS Tirupati,,,dnayak@example.net,12-07-1978,08-04-2017,47,30
2016,59391,Andhra Pradesh Medical Council,Girindra Patla,Ishani Sharaf,MBBS,1999,SVIMS Tirupati,MD (Gen. Med.),2009,cranganathan@example.org,25-11-1990,06-11-2023,35,27
2013,79651,Andhra Pradesh Medical Council,Dominic Pradhan,Jagvi Mukherjee,MBBS,1994,U.Mysore,MS (Ortho),2006,owen67@example.net,28-06-1994,22-11-2018,31,32
2002,44987,Andhra Pradesh Medical Council,Nikita Shah,Wahab Sachdev,MBBS,1982,NTR University of Health Sciences,,,guptaraagini@example.org,07-09-1981,25-06-2016,44,44
2001,77110,Andhra Pradesh Medical Council,Kavya Swamy,Krish Tripathi,MBBS,1981,SVIMS Tirupati,MS (Ortho),2022,zayan74@example.org,23-01-1999,21-02-2025,26,45
2011,44145,Andhra Pradesh Medical Council,Gaurangi Subramanian,Aarnav Sidhu,MBBS,1995,SVIMS Tirupati,MD (Pediatrics),2005,lramesh@example.net,24-04-1972,19-11-2000,53,31
2021,94848,Andhra Pradesh Medical Council,Harini Borde,Aarav Sarna,MBBS,2005,SVIMS Tirupati,MD (Pediatrics),2015,rachitaapte@example.net,22-01-1980,05-05-2013,45,21
2014,91865,Andhra Pradesh Medical Council,Darsh Kashyap,Nisha Parikh,MBBS,1999,U.Mysore,MD (Pediatrics),2009,nbains@example.org,18-03-1985,07-04-2012,40,27
2009,72461,Andhra Pradesh Medical Council,Suhani Bath,Chakradhar Yohannan,MBBS,1992,U.Mysore,MD (Gen. Med.),2024,indrajitbhagat@example.org,17-12-1997,30-06-2025,28,34
2023,59601,Andhra Pradesh Medical Council,Ladli Sampath,Charvi Contractor,MBBS,2004,U.Mysore,,,vasatikaramakrishnan@example.org,24-08-1990,18-09-2025,35,22
2013,89035,Andhra Pradesh Medical Council,William Konda,Hamsini Badal,MBBS,1997,SVIMS Tirupati,MS (Ortho),2008,yuvrajbasu@example.org,15-11-1977,10-10-2005,48,29
2011,96327,Andhra Pradesh Medical Council,Bimala Chahal,Christopher Hari,MBBS,1996,NTR University of Health Sciences,MD (Pediatrics),2014,annezayyan@example.net,24-05-1992,28-10-2017,33,30
2014,60765,Andhra Pradesh Medical Council,Baljiwan Bhatnagar,Harini Butala,MBBS,1997,U.Mysore,MD (Gen. Med.),2008,neelima16@example.com,29-03-1975,20-10-2005,50,29
2000,52855,Andhra Pradesh Medical Council,Raagini Kara,Nitesh Datta,MBBS,1984,U.Mysore,MD (Gen. Med.),2003,siya95@example.org,27-01-1978,04-12-2006,47,42
2007,62800,Andhra Pradesh Medical Council,Pranit Sha,Wridesh Raghavan,MBBS,1990,NTR University of Health Sciences,,,zachariamadhav@example.net,21-01-1980,07-01-2006,45,36
2016,64212,Andhra Pradesh Medical Council,Harita Sawhney,Chaitanya Magar,MBBS,1997,U.Mysore,,,finn97@example.com,06-09-1971,03-10-2011,54,29
2008,77301,Andhra Pradesh Medical Council,Darsh Kalla,Zashil Dugal,MBBS,1989,NTR University of Health Sciences,MD (Pediatrics),1999,jeevikapathak@example.com,25-07-1977,21-06-2001,48,37
2018,83386,Andhra Pradesh Medical Council,Thomas Pandey,Manbir Karnik,MBBS,2001,NTR University of Health Sciences,,,parmerupasna@example.net,12-11-1983,12-05-2019,42,25
2016,57141,Andhra Pradesh Medical Council,Watika Hayer,Siya Behl,MBBS,1999,NTR University of Health Sciences,MD (Gen. Med.),2009,jagrati03@example.net,24-06-1974,09-10-2011,51,27
2021,49236,Andhra Pradesh Medical Council,Om Mittal,Saksham Sen,MBBS,2006,SVIMS Tirupati,MD (Gen. Med.),2023,ekanta02@example.org,02-12-1992,14-03-2024,33,20
2019,71052,Andhra Pradesh Medical Council,Tamanna Deshpande,Eiravati Ahluwalia,MBBS,1999,SVIMS Tirupati,MD (Pediatrics),2023,aadiwason@example.com,03-02-1991,09-11-2024,34,27
2021,79918,Andhra Pradesh Medical Council,Harsh Mistry,Ekiya Tara,MBBS,2005,NTR University of Health Sciences,MD (Gen. Med.),2012,joshuaroy@example.org,31-05-1999,24-10-2022,26,21
2003,66108,Andhra Pradesh Medical Council,Aishani Trivedi,Jai Lalla,MBBS,1987,SVIMS Tirupati,MS (Ortho),1995,gpuri@example.org,23-05-1972,02-11-2009,53,39
2011,86390,Andhra Pradesh Medical Council,Panini Sama,Zayan Salvi,MBBS,1994,U.Mysore,,,nadigbhavya@example.net,02-08-1991,08-04-2023,34,32
2012,49608,Andhra Pradesh Medical Council,Saksham Basak,Vedika Mani,MBBS,1995,U.Mysore,MD (Pediatrics),2022,biswasbishakha@example.com,25-07-1989,08-05-2025,36,31
2016,48146,Andhra Pradesh Medical Council,Tamanna Krishna,Hamsini Padmanabhan,MBBS,1997,SVIMS Tirupati,MD (Gen. Med.),2008,ashah@example.net,31-12-1974,12-04-2011,51,29
2022,77814,Andhra Pradesh Medical Council,Balhaar Keer,Warjas Bains,MBBS,2006,NTR University of Health Sciences,MS (Ortho),2012,wardaarora@example.net,11-06-1977,04-04-2003,48,20
2000,44290,Andhra Pradesh Medical Council,Fariq Seshadri,Balhaar Munshi,MBBS,1981,U.Mysore,MD (Pediatrics),2012,pmodi@example.org,28-04-1975,03-04-2013,50,45
2011,90904,Andhra Pradesh Medical Council,Chandresh Badami,Zinal Dhillon,MBBS,1996,SVIMS Tirupati,MD (Gen. Med.),2002,gopaldhruv@example.net,24-02-1980,09-12-2018,45,30
2017,85711,Andhra Pradesh Medical Council,Yachana Sampath,Harish Rattan,MBBS,1998,SVIMS Tirupati,MD (Gen. Med.),2008,walireva@example.org,07-03-1978,03-10-2019,47,28
2001,79050,Andhra Pradesh Medical Council,Bishakha Narang,Yug Chaudhry,MBBS,1982,SVIMS Tirupati,,,wbalay@example.net,14-04-1975,22-07-2003,50,44
2012,45867,Andhra Pradesh Medical Council,Anya Edwin,Chanchal Rattan,MBBS,1994,U.Mysore,MD (Pediatrics),2002,deshpandeanika@example.com,26-07-1973,10-07-1998,52,32
2010,84994,Andhra Pradesh Medical Council,Odika Kaur,Om Agate,MBBS,1992,NTR University of Health Sciences,MD (Gen. Med.),2000,tailordarika@example.org,02-10-1999,16-08-2023,26,34
2017,70365,Andhra Pradesh Medical Council,Divya Thaker,Vansha Boase,MBBS,2001,NTR University of Health Sciences,MD (Pediatrics),2010,atisabharwal@example.org,28-03-1982,28-11-2025,43,25
2009,78822,Andhra Pradesh Medical Council,Rachit Keer,Zansi Rao,MBBS,1990,SVIMS Tirupati,,,viraj87@example.com,03-04-1996,18-02-2025,29,36
2022,56260,Andhra Pradesh Medical Council,Warhi Tiwari,Kashvi Kurian,MBBS,2005,SVIMS Tirupati,MD (Gen. Med.),2017,bhavani88@example.net,25-07-1976,14-01-2019,49,21
2013,50882,Andhra Pradesh Medical Council,Jatin Sharaf,Jack Bedi,MBBS,1995,U.Mysore,MS (Ortho),2004,eshanagola@example.net,20-01-1994,31-05-2017,31,31
2022,70681,Andhra Pradesh Medical Council,Rayaan Raja,Bhavani Soni,MBBS,2006,SVIMS Tirupati,,,arorajagvi@example.org,17-06-2000,07-03-2024,25,20
2008,69076,Andhra Pradesh Medical Council,Ishanvi Yogi,Zayyan Nagi,MBBS,1990,U.Mysore,,,gandhianusha@example.com,12-01-1998,17-12-2020,27,36
2014,69621,Andhra Pradesh Medical Council,Forum Tripathi,Harrison Mitra,MBBS,1999,NTR University of Health Sciences,MD (Pediatrics),2002,rnarang@example.org,27-03-1975,25-07-2004,50,27
2018,69352,Andhra Pradesh Medical Council,Unni Ravel,Eesha Shere,MBBS,2000,U.Mysore,MD (Pediatrics),2010,tatabina@example.org,30-04-1994,16-05-2022,31,26
2014,61196,Andhra Pradesh Medical Council,Pratyush Murty,Frederick Babu,MBBS,1996,U.Mysore,MS (Ortho),2009,ksethi@example.net,14-07-1990,23-01-2019,35,30
2001,46819,Andhra Pradesh Medical Council,Chakradhar Ramakrishnan,Dhriti Sama,MBBS,1985,U.Mysore,MD (Gen. Med.),1992,rajarayaan@example.net,18-12-1970,18-07-2011,55,41
2002,47227,Andhra Pradesh Medical Council,Yashvi Sarkar,Keya Seth,MBBS,1984,U.Mysore,,,anushasekhon@example.net,17-02-1973,02-02-2001,52,42
2013,90529,Andhra Pradesh Medical Council,Dev Dhar,Saumya Nazareth,MBBS,1993,NTR University of Health Sciences,MD (Pediatrics),2016,yahviyohannan@example.net,07-12-1980,12-09-2017,45,33
2011,66398,Andhra Pradesh Medical Council,Lavanya Venkatesh,Sachi Mangal,MBBS,1992,U.Mysore,,,avnivyas@example.com,24-12-1974,23-11-2002,51,34
2008,94388,Andhra Pradesh Medical Council,Radha Oza,Inaya Naidu,MBBS,1992,SVIMS Tirupati,,,neel49@example.net,07-06-1981,12-04-2022,44,34
2004,46482,Andhra Pradesh Medical Council,Aditya Mahal,Isaac Krishnamurthy,MBBS,1987,NTR University of Health Sciences,MS (Ortho),1999,soodchaitanya@example.com,23-06-1974,07-01-2015,51,39
2016,64478,Andhra Pradesh Medical Council,Hemal Bhat,Chavvi Mukherjee,MBBS,1998,SVIMS Tirupati,MD (Gen. Med.),2024,shegde@example.com,14-09-1999,25-01-2025,26,28
2014,92151,Andhra Pradesh Medical Council,Qabil Bandi,Rudra Pathak,MBBS,1994,NTR University of Health Sciences,MD (Pediatrics),2006,mallickfalguni@example.com,21-04-1975,09-01-2005,50,32
2004,46892,Andhra Pradesh Medical Council,Anika Panchal,Aryan Venkatesh,MBBS,1988,SVIMS Tirupati,MD (Pediatrics),1995,bbhatti@example.com,04-07-1987,26-12-2015,38,38
2011,96157,Andhra Pradesh Medical Council,Zayyan Seth,Maya Dara,MBBS,1992,SVIMS Tirupati,MD (Pediatrics),2021,mandagirindra@example.net,24-11-1998,30-10-2024,27,34
2011,75472,Andhra Pradesh Medical Council,Charita Apte,Jairaj Das,MBBS,1996,U.Mysore,MD (Gen. Med.),2005,kalakorpal@example.org,04-07-1983,17-02-2016,42,30
2018,75122,Andhra Pradesh Medical Council,Varsha Ramachandran,Yashasvi Gill,MBBS,2003,U.Mysore,MS (Ortho),2011,sarabhakta@example.org,26-01-1975,05-09-2011,50,23
2009,75866,Andhra Pradesh Medical Council,Qadim Ahuja,Hredhaan Seth,MBBS,1992,SVIMS Tirupati,,,manbirguha@example.org,21-11-1994,13-08-2019,31,34
2009,74748,Andhra Pradesh Medical Council,Warhi Bumb,Lucky Yogi,MBBS,1989,U.Mysore,MS (Ortho),2004,dugarmaanas@example.org,12-09-1997,12-11-2024,28,37
2005,72197,Andhra Pradesh Medical Council,Veer Ganesh,Falak Kalita,MBBS,1990,NTR University of Health Sciences,MD (Pediatrics),1997,benjoshua@example.net,13-12-1972,03-12-1999,53,36
2004,41571,Andhra Pradesh Medical Council,Darpan Pillay,Kalpit Nagar,MBBS,1988,U.Mysore,MD (Gen. Med.),2021,ahujaleela@example.org,16-07-1997,22-11-2024,28,38
2002,52439,Andhra Pradesh Medical Council,Nicholas Panchal,Abeer Varty,MBBS,1984,SVIMS Tirupati,MS (Ortho),2022,harish54@example.net,02-03-1998,14-06-2025,27,42
2021,44374,Andhra Pradesh Medical Council,Sachi Padmanabhan,Vasana Dani,MBBS,2001,SVIMS Tirupati,MD (Pediatrics),2020,kavyaarya@example.com,09-02-1981,31-08-2022,44,25
2021,99502,Andhra Pradesh Medical Council,Devansh Lad,Advika Oak,MBBS,2004,U.Mysore,MD (Pediatrics),2012,bobalmanbir@example.net,12-11-1990,20-07-2015,35,22
2013,49178,Andhra Pradesh Medical Council,Laban Parikh,Jagat Nazareth,MBBS,1995,NTR University of Health Sciences,MD (Pediatrics),2021,tankeshana@example.net,26-09-2000,25-10-2022,25,31
2016,65845,Andhra Pradesh Medical Council,Vedika Swaminathan,Tarak Chana,MBBS,1998,NTR University of Health Sciences,,,kmaharaj@example.com,12-04-1970,24-07-1997,55,28
2001,70243,Andhra Pradesh Medical Council,Ayushman Sarna,Kamya Gokhale,MBBS,1983,SVIMS Tirupati,,,onori@example.org,20-12-1973,29-09-2002,52,43
2010,88893,Andhra Pradesh Medical Council,Abhiram Rajagopal,Aayush Shah,MBBS,1991,SVIMS Tirupati,,,uvora@example.net,06-04-1978,04-05-2002,47,35
2002,60805,Andhra Pradesh Medical Council,Maanas Patla,Ansh Bains,MBBS,1986,U.Mysore,,,datebenjamin@example.net,30-03-1972,02-11-2017,53,40
2013,62377,Andhra Pradesh Medical Council,Yatin Magar,Naksh Samra,MBBS,1996,U.Mysore,MD (Pediatrics),2006,fsodhi@example.org,24-04-1977,07-12-2002,48,30
2015,50314,Andhra Pradesh Medical Council,Maanas Dasgupta,Sathvik Borde,MBBS,1996,NTR University of Health Sciences,,,keya18@example.com,09-01-1993,12-07-2017,33,30
2008,46983,Andhra Pradesh Medical Council,Advaith Prashad,Omya Vig,MBBS,1988,U.Mysore,,,srinivasaneiravati@example.com,17-04-1992,06-04-2022,33,38
2009,49521,Andhra Pradesh Medical Council,Udarsh Ramanathan,Ladli Banerjee,MBBS,1991,SVIMS Tirupati,MS (Ortho),2019,fariqsrinivasan@example.net,11-01-1987,21-09-2021,39,35
2021,80765,Andhra Pradesh Medical Council,Anmol Yogi,Janya Vohra,MBBS,2005,U.Mysore,MD (Pediatrics),2014,warinder69@example.net,25-10-1972,24-07-2002,53,21
2005,41195,Andhra Pradesh Medical Council,Vihaan Pant,Rudra Malhotra,MBBS,1985,NTR University of Health Sciences,,,snehasidhu@example.org,23-08-1977,21-08-1999,48,41
2000,86473,Andhra Pradesh Medical Council,Manya Kala,Ekavir Gopal,MBBS,1983,U.Mysore,,,zachariachristopher@example.com,02-09-1982,18-10-2008,43,43
2007,59359,Andhra Pradesh Medical Council,Rohan Madan,Jasmit Wadhwa,MBBS,1989,SVIMS Tirupati,,,psampath@example.net,09-11-1984,02-04-2015,41,37
2023,74443,Andhra Pradesh Medical Council,Manbir Tak,Shaurya Kuruvilla,MBBS,2007,U.Mysore,MS (Ortho),2003,mannankrishna@example.net,02-03-1972,25-06-2006,53,19
2016,93041,Andhra Pradesh Medical Council,Baghyawati Choudhary,Orinder Purohit,MBBS,2000,U.Mysore,,,ekrishnan@example.com,27-03-1977,06-08-2001,48,26
2013,74382,Andhra Pradesh Medical Council,Tanvi Kaur,Janya Varghese,MBBS,1996,U.Mysore,,,nilimathakur@example.com,23-08-1995,14-01-2019,30,30
2023,93142,Andhra Pradesh Medical Council,Gavin Wadhwa,Faras Bajaj,MBBS,2004,NTR University of Health Sciences,MD (Gen. Med.),2004,deepchakrika@example.com,14-10-1978,21-07-2007,47,22
2003,49354,Andhra Pradesh Medical Council,Gaurang Aggarwal,Lucky Kurian,MBBS,1987,NTR University of Health Sciences,MS (Ortho),2014,ggolla@example.org,12-08-1993,16-07-2016,32,39
2016,79064,Andhra Pradesh Medical Council,Nathan Keer,Deepa Hayer,MBBS,2000,U.Mysore,,,meeramorar@example.org,11-03-1975,05-07-2007,50,26
2018,86207,Andhra Pradesh Medical Council,Leena Chana,Zaid Dixit,MBBS,2001,SVIMS Tirupati,MS (Ortho),2008,naveen86@example.com,18-12-1982,05-04-2024,43,25
2006,45265,Andhra Pradesh Medical Council,Fiyaz Soman,Lopa Varma,MBBS,1987,SVIMS Tirupati,MD (Pediatrics),1997,anikabala@example.net,30-06-1975,23-03-2002,50,39
2017,66160,Andhra Pradesh Medical Council,Vidhi Ahluwalia,Bahadurjit Chand,MBBS,2001,SVIMS Tirupati,MD (Gen. Med.),2011,vanyaraju@example.org,06-06-1971,30-05-2018,54,25
2007,68230,Andhra Pradesh Medical Council,Harshil Singh,Devansh Sarkar,MBBS,1992,NTR University of Health Sciences,MD (Gen. Med.),2022,mayasachdev@example.com,06-10-1998,23-09-2024,27,34
2017,50720,Andhra Pradesh Medical Council,Hardik Jani,Jack Merchant,MBBS,1999,U.Mysore,MD (Gen. Med.),2008,waidaprasad@example.net,01-09-1970,16-08-2022,55,27
2010,56635,Andhra Pradesh Medical Council,Advik Barad,Tamanna Mohanty,MBBS,1993,NTR University of Health Sciences,,,mhayre@example.org,26-06-1994,01-05-2025,31,33
2016,69463,Andhra Pradesh Medical Council,Yashoda Datta,Rudra Bandi,MBBS,1998,U.Mysore,MD (Gen. Med.),2006,wvenkataraman@example.net,12-02-1985,03-02-2016,40,28
2014,40779,Andhra Pradesh Medical Council,Isha Gokhale,Deepa Gandhi,MBBS,1994,SVIMS Tirupati,MD (Pediatrics),2009,lchowdhury@example.com,24-11-1990,25-01-2019,35,32
2013,81297,Andhra Pradesh Medical Council,Shivansh Bajaj,Thomas Menon,MBBS,1995,U.Mysore,MD (Gen. Med.),2017,jananisant@example.com,19-08-1994,19-09-2018,31,31
2004,50745,Andhra Pradesh Medical Council,Wakeeta Chander,Elijah Dutt,MBBS,1989,U.Mysore,MD (Pediatrics),1996,bbawa@example.com,23-04-1970,24-10-2015,55,37
2009,86051,Andhra Pradesh Medical Council,Nathan Thaker,Isaiah Badal,MBBS,1991,U.Mysore,,,xiti06@example.net,30-01-1985,28-01-2007,40,35
